n65,0,2.3283064365386963e-10
n68,0,2.3283064365386963e-10
n72,1,4.656612873077393e-10
n73,0,4.656612873077393e-10
n75,0,4.656612873077393e-10
n76,1,4.656612873077393e-10
n79,0,4.656612873077393e-10
n83,1,9.313225746154785e-10
n90,0,9.313225746154785e-10
n93,1,9.313225746154785e-10
n94,0,9.313225746154785e-10
n95,0,9.313225746154785e-10
n96,1,9.313225746154785e-10
n99,0,9.313225746154785e-10
n102,0,9.313225746154785e-10
n106,1,1.862645149230957e-09
n107,1,1.862645149230957e-09
n108,1,1.862645149230957e-09
n109,0,1.862645149230957e-09
n110,0,1.862645149230957e-09
n111,0,1.862645149230957e-09
n121,0,1.862645149230957e-09
n122,0,1.862645149230957e-09
n123,0,1.862645149230957e-09
n124,1,1.862645149230957e-09
n127,0,1.862645149230957e-09
n130,0,1.862645149230957e-09
n131,1,1.862645149230957e-09
n132,1,1.862645149230957e-09
n133,0,1.862645149230957e-09
n137,1,3.725290298461914e-09
n138,1,3.725290298461914e-09
n139,1,3.725290298461914e-09
n149,0,3.725290298461914e-09
n155,0,3.725290298461914e-09
n159,0,3.725290298461914e-09
n160,0,3.725290298461914e-09
n161,1,3.725290298461914e-09
n164,0,3.725290298461914e-09
n167,0,3.725290298461914e-09
n170,0,3.725290298461914e-09
n173,0,3.725290298461914e-09
n174,0,3.725290298461914e-09
n175,0,3.725290298461914e-09
n177,1,7.450580596923828e-09
n178,1,7.450580596923828e-09
n179,0,7.450580596923828e-09
n180,1,7.450580596923828e-09
n181,0,7.450580596923828e-09
n182,1,7.450580596923828e-09
n183,0,7.450580596923828e-09
n184,1,7.450580596923828e-09
n185,1,7.450580596923828e-09
n186,0,7.450580596923828e-09
n187,1,7.450580596923828e-09
n188,0,7.450580596923828e-09
n198,0,7.450580596923828e-09
n204,0,7.450580596923828e-09
n208,0,7.450580596923828e-09
n209,0,7.450580596923828e-09
n210,1,7.450580596923828e-09
n213,0,7.450580596923828e-09
n216,0,7.450580596923828e-09
n219,0,7.450580596923828e-09
n220,1,7.450580596923828e-09
n221,1,7.450580596923828e-09
n222,0,7.450580596923828e-09
n225,0,7.450580596923828e-09
n226,0,7.450580596923828e-09
n227,0,7.450580596923828e-09
n229,1,1.4901161193847656e-08
n230,1,1.4901161193847656e-08
n231,1,1.4901161193847656e-08
n232,1,1.4901161193847656e-08
n242,0,1.4901161193847656e-08
n243,1,1.4901161193847656e-08
n244,1,1.4901161193847656e-08
n245,0,1.4901161193847656e-08
n246,1,1.4901161193847656e-08
n247,0,1.4901161193847656e-08
