n42,1,19,1.9073486328125e-06
n43,1,19,1.9073486328125e-06
n44,2,18,3.814697265625e-06
n47,1,18,3.814697265625e-06
n48,1,18,3.814697265625e-06
n49,2,17,7.62939453125e-06
n51,2,18,3.814697265625e-06
n52,3,17,7.62939453125e-06
n54,3,18,3.814697265625e-06
n55,1,18,3.814697265625e-06
n56,4,17,7.62939453125e-06
n59,4,17,7.62939453125e-06
n60,1,17,7.62939453125e-06
n61,1,17,7.62939453125e-06
n62,2,16,1.52587890625e-05
n64,2,17,7.62939453125e-06
n65,5,16,1.52587890625e-05
n67,5,17,7.62939453125e-06
n68,1,17,7.62939453125e-06
n69,6,16,1.52587890625e-05
n71,6,17,7.62939453125e-06
n72,7,16,1.52587890625e-05
n74,7,17,7.62939453125e-06
n75,1,17,7.62939453125e-06
n76,8,16,1.52587890625e-05
n79,8,16,1.52587890625e-05
n80,6,16,1.52587890625e-05
n81,1,16,1.52587890625e-05
n82,1,16,1.52587890625e-05
n83,2,15,3.0517578125e-05
n85,2,16,1.52587890625e-05
n86,7,15,3.0517578125e-05
n88,7,16,1.52587890625e-05
n89,1,16,1.52587890625e-05
n90,8,15,3.0517578125e-05
n92,8,16,1.52587890625e-05
n93,9,15,3.0517578125e-05
n95,9,16,1.52587890625e-05
n96,1,16,1.52587890625e-05
n97,10,15,3.0517578125e-05
n99,10,16,1.52587890625e-05
n100,11,15,3.0517578125e-05
n102,11,16,1.52587890625e-05
n103,1,16,1.52587890625e-05
n104,12,15,3.0517578125e-05
n107,12,15,3.0517578125e-05
n108,10,15,3.0517578125e-05
n109,8,15,3.0517578125e-05
n110,1,15,3.0517578125e-05
n111,1,15,3.0517578125e-05
n112,2,14,6.103515625e-05
n114,2,15,3.0517578125e-05
n115,9,14,6.103515625e-05
n117,9,15,3.0517578125e-05
n118,1,15,3.0517578125e-05
n119,10,14,6.103515625e-05
n121,10,15,3.0517578125e-05
n122,11,14,6.103515625e-05
n124,11,15,3.0517578125e-05
